,issue_date,target_ts,horizon_qh,y_true,y_model,y_tso
0,2025-01-01,2024-12-31 23:00:00+00:00,0,12225.0,10859.67578125,11470.25
1,2025-01-01,2024-12-31 23:15:00+00:00,1,12004.75,10675.751098632812,11307.5
2,2025-01-01,2024-12-31 23:30:00+00:00,2,12012.0,10560.976013183594,11175.25
3,2025-01-01,2024-12-31 23:45:00+00:00,3,11979.75,10432.751159667969,11015.75
4,2025-01-01,2025-01-01 00:00:00+00:00,4,11916.75,10262.256103515625,10825.5
5,2025-01-01,2025-01-01 00:15:00+00:00,5,11847.5,10184.191772460938,10726.25
6,2025-01-01,2025-01-01 00:30:00+00:00,6,11818.75,10122.190551757812,10636.25
7,2025-01-01,2025-01-01 00:45:00+00:00,7,11745.0,10038.074829101562,10515.75
8,2025-01-01,2025-01-01 01:00:00+00:00,8,11672.0,10021.052459716797,10457.5
9,2025-01-01,2025-01-01 01:15:00+00:00,9,11577.5,9976.431610107422,10366.0
10,2025-01-01,2025-01-01 01:30:00+00:00,10,11520.75,10010.770446777344,10356.25
11,2025-01-01,2025-01-01 01:45:00+00:00,11,11473.5,10033.431335449219,10338.0
12,2025-01-01,2025-01-01 02:00:00+00:00,12,11332.25,10072.139343261719,10342.75
13,2025-01-01,2025-01-01 02:15:00+00:00,13,11327.75,10100.407775878906,10337.75
14,2025-01-01,2025-01-01 02:30:00+00:00,14,11204.5,10065.541046142578,10270.5
15,2025-01-01,2025-01-01 02:45:00+00:00,15,11187.25,10092.60629272461,10267.5
16,2025-01-01,2025-01-01 03:00:00+00:00,16,11040.5,10152.538986206055,10271.0
17,2025-01-01,2025-01-01 03:15:00+00:00,17,11059.0,10150.082077026367,10213.75
18,2025-01-01,2025-01-01 03:30:00+00:00,18,11001.25,10246.438789367676,10264.75
19,2025-01-01,2025-01-01 03:45:00+00:00,19,10947.0,10354.757629394531,10336.5
20,2025-01-01,2025-01-01 04:00:00+00:00,20,11104.0,10471.009498596191,10420.75
21,2025-01-01,2025-01-01 04:15:00+00:00,21,11064.75,10568.301628112793,10490.25
22,2025-01-01,2025-01-01 04:30:00+00:00,22,11054.75,10436.692390441895,10329.0
23,2025-01-01,2025-01-01 04:45:00+00:00,23,11037.5,10510.76058959961,10377.25
24,2025-01-01,2025-01-01 05:00:00+00:00,24,10959.25,10514.149505615234,10347.75
25,2025-01-01,2025-01-01 05:15:00+00:00,25,10899.75,10596.32650756836,10398.25
